trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
979,False,"{'a': 0.5, 'e': 0.052791011955682046}",25,11,24.382245063473597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.5, 'e': 0.052632638919815}",30,21,14.004647163759346,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
981,False,"{'a': 0.5, 'e': 0.052474741003055554}",20,9,7.851544554857488,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 0.052317316780046384}",30,6,42.68773876586146,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.5, 'e': 0.05216036482970624}",30,14,13.770996500406472,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 0.052003883735217124}",25,11,27.987275113411442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.5, 'e': 0.051847872084011475}",20,16,6.966369150551924,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 0.05169232846775944}",25,15,17.238316224967264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.5, 'e': 0.05153725148235616}",25,0,40.852473926145116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
988,False,"{'a': 0.5, 'e': 0.051382639727909095}",20,3,29.767929909820293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.5, 'e': 0.051228491808725365}",20,7,14.706838016060518,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.5, 'e': 0.05107480633329919}",25,13,23.838389505703063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.5, 'e': 0.05092158191429929}",20,2,30.637426300314544,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
